village_id,candidate_minigrids,existing_minigrids,facilities,grid_extension,existing_grid,distance_to_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,total_population,mean_biomass,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area,contains_protected_area,protected_area_name,electrification_strategy
5502915,0,0,0,0,0,7484.651547653771,0.0,0.0,1639.9946732954545,431.50115966796875,1.7076575127357108,276,43,0,0,0,0,0,0,0,0,15.3525,0.3625,False,,Solar home system
5502916,0,1,0,0,0,13212.150169464165,0.0,0.0,1632.723858173077,719.8642578125,2.1073941661115514,172,15,0,0,0,0,0,0,0,2,16.675,0.6175,True,Agoro - Agu Forest Reserve,Existing minigrid
5502917,0,0,0,0,0,1518.2986658015648,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,45.45,0.0,False,,Solar home system
5502918,0,0,0,0,0,3840.866405533302,0.0,0.0,1663.0238715277778,318.3272705078125,2.4154062969946226,229,22,0,0,0,0,0,0,0,3,10.843333333333334,0.1333333333333333,False,,Solar home system
5502919,0,0,1,0,0,5502.105398114861,0.0,0.0,1668.4618675595239,601.1865234375,2.7435948347231087,423,32,1,0,0,0,0,0,0,1,10.966666666666669,1.1875,False,,Solar home system
5502920,0,2,2,0,0,20216.984465488502,0.43975529074668884,1.401940728528417,1666.0834603658536,2407.47900390625,2.637117978602389,3411,362,1,1,0,0,0,1,0,26,9.4575,3.645,False,,Existing minigrid
5502921,1,1,0,0,0,21889.604077054024,0.0,0.0,1676.2401785714285,2538.37109375,3.1162141693670713,4108,166,0,0,0,0,0,0,0,37,5.125,1.1925,True,Achwa River Forest Reserve,Candidate minigrid
5502922,1,0,0,0,0,18963.864477058793,0.43555450439453125,1.3999615752199077,1678.9549632352941,2625.1767578125,2.869176607841204,3692,130,0,0,0,0,0,0,0,32,5.1225000000000005,0.4925,False,,Candidate minigrid
5502923,0,0,0,0,0,2147.345131870186,0.0,0.0,1655.4175502232142,185.0543975830078,1.7495633316694361,8,4,0,0,0,0,0,0,0,0,18.966666666666665,0.3499999999999999,False,,Solar home system
5502924,0,0,0,0,1,1391.174780502544,0.0,0.0,1655.970703125,133.1496124267578,1.8473089382259666,28,0,0,0,0,0,0,0,0,6,15.695,0.02,False,,Existing grid
5502925,0,0,2,0,1,93.85596355568636,0.0,0.0,1655.556640625,336.4463806152344,1.991539318340655,121,10,1,1,0,0,0,0,0,0,14.935,1.4625,False,,Existing grid
5502926,0,0,0,0,1,2686.442256624929,0.0,0.0,1657.504296875,517.3682250976562,1.643567499222461,191,19,0,0,0,0,0,0,0,0,21.02333333333333,1.4375,False,,Existing grid
5502927,0,0,0,0,0,8260.524312774049,0.0,0.0,1656.595953525641,876.9207763671875,1.7022128546722946,206,15,0,0,0,0,0,0,0,0,5.0525,0.16,False,,Solar home system
5502928,0,0,0,0,0,3896.4407603305967,0.3664396405220032,1.2562653039070313,1654.874609375,566.7067260742188,1.8083939407890228,161,23,0,0,0,0,0,0,0,0,7.99,1.1333333333333333,False,,Solar home system
5502929,0,0,0,0,0,5490.044315572408,0.0,0.0,1654.728515625,553.783447265625,1.671365924638081,214,21,0,0,0,0,0,0,0,0,7.722499999999999,2.775,False,,Solar home system
5502930,0,0,0,0,0,11091.033239856493,0.382331520318985,1.2936777405825097,1655.5003004807693,475.00665283203125,1.4844779884223618,49,4,0,0,0,0,0,0,0,1,5.4325,0.0424999999999999,False,,Solar home system
5502931,0,0,1,0,0,14279.682964675902,0.0,0.0,1619.7376953125,275.3260498046875,1.916558566877736,119,17,1,0,0,0,0,0,0,1,18.6975,0.8775000000000001,False,,Solar home system
5502932,1,0,0,0,0,11011.953569706968,0.0,0.0,1650.405029296875,687.2334594726562,1.7353764314160511,160,36,0,0,0,0,0,0,0,2,14.6175,0.1974999999999999,False,,Candidate minigrid
5502933,0,0,0,0,0,12393.901545428873,0.0,0.0,1629.44091796875,192.9474639892578,2.138268281185425,12,2,0,0,0,0,0,0,0,0,22.88,0.0,False,,Solar home system
5502934,0,0,0,0,0,14398.00572092569,0.0,0.0,1637.1934442934783,868.853271484375,1.7631587573724419,308,68,0,0,0,0,0,0,0,0,25.89333333333333,1.25,False,,Solar home system
5502935,0,1,0,0,0,15190.964680977775,0.0,0.0,1647.6427734375,602.4310302734375,1.7567426253892349,254,62,0,0,0,0,0,0,0,1,20.993333333333336,6.1275,False,,Existing minigrid
5502936,0,0,1,0,0,13666.713615119572,0.0,0.0,1643.113671875,113.6054458618164,1.6677959083511107,68,6,0,1,0,0,0,0,0,0,13.5075,0.9366666666666666,False,,Solar home system
5502937,0,0,0,0,0,15794.729323134441,0.0,0.0,1643.86865234375,392.31317138671875,1.66352587890625,198,33,0,0,0,0,0,0,0,2,19.363333333333333,3.485,False,,Solar home system
5502938,1,0,0,0,0,15222.694516645652,0.0,0.0,1645.634033203125,228.81930541992188,1.789079071969697,125,22,0,0,0,0,0,0,0,1,24.326666666666668,4.725,False,,Candidate minigrid
5502939,0,1,2,0,0,15287.267330725957,0.0,0.0,1646.9119873046875,753.5692138671875,1.349000611940065,430,166,2,0,0,0,0,0,0,1,11.4025,30.0225,False,,Existing minigrid
5502940,0,0,0,0,0,16514.136890519247,0.0,0.0,1620.411349826389,395.204345703125,3.0225207401741585,135,16,0,0,0,0,0,0,0,0,10.5225,0.06,True,Lamwo Forest Reserve,Solar home system
5502941,1,0,0,0,0,17082.000416923995,0.0,0.0,1636.2103515625,467.2109375,1.9873624181245335,203,43,0,0,0,0,0,0,0,1,20.825,1.093333333333333,True,Lamwo Forest Reserve,Candidate minigrid
5502942,1,0,1,0,0,13336.951822745279,0.0,0.0,1652.6768002717392,355.3428039550781,1.6787002459297864,145,25,1,0,0,0,0,0,0,0,11.795,0.615,False,,Candidate minigrid
5502943,0,0,1,0,0,18541.110231682913,0.0,0.0,1620.6141493055557,513.2879638671875,1.9032998025285557,246,41,1,0,0,0,0,0,1,1,19.4075,0.955,False,,Solar home system
5502944,1,0,0,0,0,17305.73017681107,0.33404240012168884,1.2333203595806714,1632.2212456597222,354.5379943847656,1.9097313408109169,134,16,0,0,0,0,0,0,0,0,20.077500000000004,0.96,True,Lamwo Forest Reserve,Candidate minigrid
5502945,0,0,0,0,0,14098.394555122346,0.0,0.0,1636.177951388889,393.093994140625,1.6638868047546655,98,5,0,0,0,0,0,0,0,1,19.1725,0.1166666666666666,False,,Solar home system
5502946,0,0,0,0,0,17614.563070216034,0.0,0.0,1634.8589564732142,238.45025634765625,1.8933878777153732,96,18,0,0,0,0,0,0,0,0,19.4,0.97,True,Lamwo Forest Reserve,Solar home system
5502947,0,0,0,0,0,19220.860096229444,0.0,0.0,1628.7280970982142,6.90259313583374,7.137970081588161,0,0,0,0,0,0,0,0,0,0,1.01,0.14,True,Lamwo Forest Reserve,Solar home system
5502948,0,0,0,0,0,12507.732677639644,0.0,0.0,1645.451171875,424.1004333496094,1.879468074559713,138,35,0,0,0,0,0,0,0,0,19.273333333333333,3.7125,False,,Solar home system
5502949,0,0,0,0,0,12116.814684608857,0.0,0.0,1642.5537760416667,445.56005859375,1.7654957793874408,140,8,0,0,0,0,0,0,0,0,18.9125,1.38,False,,Solar home system
5502950,0,0,0,0,0,13275.87831799327,0.0,0.0,1648.373046875,213.13729858398438,1.7951171154555514,109,13,0,0,0,0,0,0,0,0,5.5625,3.86,False,,Solar home system
5502951,0,0,0,0,0,13750.98652557476,0.0,0.0,1648.581752232143,283.0093078613281,1.8913209597188536,133,28,0,0,0,0,0,0,0,0,10.2,0.6966666666666667,False,,Solar home system
5502952,1,0,0,0,0,11351.883937545777,0.0,0.0,1646.6077473958333,472.865966796875,1.7338609487668764,236,20,0,0,0,0,0,0,0,0,24.46333333333333,2.4725,False,,Candidate minigrid
5502953,1,0,0,0,0,11537.067732073203,0.0,0.0,1657.5045138888888,601.5194091796875,1.7366770991183358,165,21,0,0,0,0,0,0,0,5,15.625,0.2925,False,,Candidate minigrid
5502954,1,0,1,0,0,11124.35928938896,0.0,0.0,1660.436740451389,554.840087890625,1.7362248670810243,199,29,1,0,0,0,0,0,0,22,13.3025,0.35,False,,Candidate minigrid
5502955,1,0,0,0,0,6164.119209623147,0.0,0.0,1656.682861328125,314.03912353515625,1.8314125549718008,52,7,0,0,0,0,0,0,0,2,16.073333333333334,0.58,False,,Candidate minigrid
5502956,1,0,0,1,0,2427.096444816654,0.0,0.0,1671.384033203125,369.38385009765625,1.8000497618261702,137,31,0,0,0,0,0,0,0,0,39.1175,2.1875,False,,Grid extension
5502957,0,0,0,1,0,1331.0763464495665,0.0,0.0,1670.3797607421875,488.3497009277344,1.8590216238548825,167,34,0,0,0,0,0,0,0,0,30.0475,2.3575,False,,Grid extension
5502958,0,0,0,0,0,3955.0265463910887,0.0,0.0,1667.4876302083333,111.48431396484375,1.9424099027509247,41,4,0,0,0,0,0,0,0,0,34.57666666666667,2.5666666666666664,False,,Solar home system
5502959,0,0,0,0,0,4071.14044302268,0.0,0.0,1670.7265625,83.50792694091797,1.9793589172127988,25,5,0,0,0,0,0,0,0,0,36.053333333333335,0.505,False,,Solar home system
5502960,0,0,0,0,0,5057.264379641373,0.0,0.0,1673.0640625,392.234375,1.9966978818193515,210,50,0,0,0,0,0,0,0,2,28.397500000000004,2.8725,False,,Solar home system
5502961,0,0,0,1,0,3082.4577350466484,0.0,0.0,1676.132568359375,223.85452270507812,1.890860480395576,150,21,0,0,0,0,0,0,0,2,38.06,3.7125,False,,Grid extension
5502962,0,1,0,0,0,5200.448499901103,0.0,0.0,1661.065673828125,300.35186767578125,1.8579018266083014,105,10,0,0,0,0,0,0,0,0,25.1825,3.5825,False,,Existing minigrid
5502963,0,0,0,0,0,5298.507093133705,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,64.89999999999999,False,,Solar home system
5502964,0,0,0,0,0,6682.667437254656,0.0,0.0,1657.68701171875,221.90725708007812,1.8097444170899488,51,4,0,0,0,0,0,0,0,0,20.16,0.6466666666666666,False,,Solar home system
5502965,0,0,0,0,0,4472.353954962744,0.0,0.0,1662.846435546875,515.049072265625,1.897163003177966,122,20,0,0,0,0,0,0,0,5,27.3575,1.13,False,,Solar home system
